	Technique	Algorithm	Classifier	Seed	F1	F2	F3	F4	F5
0	Voting		VotingClassifier	0	0.1809523809523809	0.0186000657246138	0.97	0.5882936507936508	0.6537433155080214
1	Fairlearn	false_positive_rate_parity	VotingClassifier	0	0.2090909090909091	0.0172504957038994	0.97	0.5848214285714286	0.6537433155080214
2	Fairlearn	true_positive_rate_parity	VotingClassifier	0	0.2142857142857142	0.0325038090401218	0.98	0.5882936507936508	0.6319073083778968
3	Fairlearn	equalized_odds	VotingClassifier	0	0.2424242424242424	0.0311542390194075	0.98	0.5848214285714286	0.6319073083778968
4	scikit-lego	DemographicParityClassifier	OneVsRestClassifier	0	0.0078369905956112	0.0330634278002699	0.92	0.6473214285714286	0.6675579322638147
5	scikit-lego	EqualOpportunityClassifier	OneVsRestClassifier	0	0.0078369905956112	0.0330634278002699	0.92	0.6473214285714286	0.6675579322638147
6	Proposal	nsga2	FairVotingClassifier	0	0.1729323308270676	0.0182448927148914	0.95	0.5952380952380953	0.661319073083779
7	ProposalWeighted	F1_nsga2	FairVotingClassifier	0	0.0555555555555555	0.0458474837912936	0.96	0.6478174603174602	0.6528520499108734
8	ProposalWeighted	F2_nsga2	FairVotingClassifier	0	0.0166666666666666	0.010171568627451	0.88	0.5466269841269842	0.6314616755793226
9	ProposalWeighted	F3_nsga2	FairVotingClassifier	0	0.0166666666666666	0.010171568627451	0.88	0.5466269841269842	0.6314616755793226
10	ProposalWeighted	F4_nsga2	FairVotingClassifier	0	0.0961538461538461	0.0039511494252874	0.9	0.5466269841269842	0.6466131907308378
11	ProposalWeighted	F5_nsga2	FairVotingClassifier	0	0.0166666666666666	0.010171568627451	0.88	0.5466269841269842	0.6314616755793226
12	Proposal	rnsga2	FairVotingClassifier	0	0.1111111111111111	0.048780487804878	0.93	0.6478174603174602	0.6532976827094474
13	ProposalWeighted	F1_rnsga2	FairVotingClassifier	0	0.1111111111111111	0.048780487804878	0.93	0.6478174603174602	0.6532976827094474
14	ProposalWeighted	F2_rnsga2	FairVotingClassifier	0	0.1111111111111111	0.048780487804878	0.93	0.6478174603174602	0.6532976827094474
15	ProposalWeighted	F3_rnsga2	FairVotingClassifier	0	0.1111111111111111	0.048780487804878	0.93	0.6478174603174602	0.6532976827094474
16	ProposalWeighted	F4_rnsga2	FairVotingClassifier	0	0.1111111111111111	0.048780487804878	0.93	0.6478174603174602	0.6532976827094474
17	ProposalWeighted	F5_rnsga2	FairVotingClassifier	0	0.1111111111111111	0.048780487804878	0.93	0.6478174603174602	0.6532976827094474
18	AIF360	AdversarialDebiasing	AdversarialDebiasing	0	0.0732600732600732	0.0865231835909288	1.0	0.6746031746031745	0.6167557932263815
19	AIF360	PostProcessingMeta	PostProcessingMeta	0	0.2467532467532467	0.0114688245910229	0.92	0.5252976190476191	0.6172014260249554
20	Voting		VotingClassifier	1	0.1149425287356322	0.0764510779436152	0.8681318681318682	0.5848145709896861	0.7222222222222222
21	Fairlearn	false_positive_rate_parity	VotingClassifier	1	0.165	0.0726196880043034	0.8681318681318682	0.5817972350230416	0.7142857142857144
22	Fairlearn	true_positive_rate_parity	VotingClassifier	1	0.0953346855983772	0.0258258258258258	0.912087912087912	0.5848145709896861	0.6488095238095237
23	Fairlearn	equalized_odds	VotingClassifier	1	0.1516516516516516	0.028751194647977	0.912087912087912	0.5690695633091946	0.6408730158730158
24	scikit-lego	DemographicParityClassifier	OneVsRestClassifier	1	0.0896739130434782	0.0574111000332336	0.8901098901098901	0.5975422427035331	0.7043650793650793
25	scikit-lego	EqualOpportunityClassifier	OneVsRestClassifier	1	0.0896739130434782	0.0574111000332336	0.8901098901098901	0.5975422427035331	0.7043650793650793
26	Proposal	nsga2	FairVotingClassifier	1	0.125858123569794	0.054437564499484	0.8901098901098901	0.6000658327847268	0.7043650793650793
27	ProposalWeighted	F1_nsga2	FairVotingClassifier	1	0.0723684210526315	0.0457362311250764	0.9010989010989012	0.6115317094579767	0.6964285714285714
28	ProposalWeighted	F2_nsga2	FairVotingClassifier	1	0.0986842105263157	0.0515841843414506	0.8791208791208791	0.6000658327847268	0.6964285714285714
29	ProposalWeighted	F3_nsga2	FairVotingClassifier	1	0.0723684210526315	0.0457362311250764	0.9010989010989012	0.6115317094579767	0.6964285714285714
30	ProposalWeighted	F4_nsga2	FairVotingClassifier	1	0.0986842105263157	0.0515841843414506	0.8791208791208791	0.6000658327847268	0.6964285714285714
31	ProposalWeighted	F5_nsga2	FairVotingClassifier	1	0.1271739130434782	0.0514270797076227	0.9010989010989012	0.6047289883695414	0.7043650793650793
32	Proposal	rnsga2	FairVotingClassifier	1	0.1701902748414376	0.0525580583202375	0.945054945054945	0.6059907834101383	0.7123015873015872
33	ProposalWeighted	F1_rnsga2	FairVotingClassifier	1	0.1701902748414376	0.0525580583202375	0.934065934065934	0.6059907834101383	0.7123015873015872
34	ProposalWeighted	F2_rnsga2	FairVotingClassifier	1	0.1701902748414376	0.0525580583202375	0.945054945054945	0.6059907834101383	0.7123015873015872
35	ProposalWeighted	F3_rnsga2	FairVotingClassifier	1	0.1701902748414376	0.0525580583202375	0.945054945054945	0.6059907834101383	0.7123015873015872
36	ProposalWeighted	F4_rnsga2	FairVotingClassifier	1	0.140546006066734	0.0497873848334514	0.934065934065934	0.6059907834101383	0.7043650793650793
37	ProposalWeighted	F5_rnsga2	FairVotingClassifier	1	0.1467391304347826	0.0513689222598663	0.912087912087912	0.5957867017774853	0.6964285714285714
38	AIF360	AdversarialDebiasing	AdversarialDebiasing	1	0.0436507936507936	0.0171744019627888	1.0	0.6755540926047838	0.6706349206349206
39	AIF360	PostProcessingMeta	PostProcessingMeta	1	0.3714285714285714	0.0815528921313184	0.8791208791208791	0.510588106210226	0.6904761904761905
40	Voting		VotingClassifier	2	0.0317782285327924	0.0546961884541501	0.9021739130434784	0.6388888888888888	0.6824009324009324
41	Fairlearn	false_positive_rate_parity	VotingClassifier	2	0.0012771392081737	0.059163059163059	0.9021739130434784	0.6284722222222222	0.6824009324009324
42	Fairlearn	true_positive_rate_parity	VotingClassifier	2	0.0675381263616557	0.0292993630573248	0.9021739130434784	0.6388888888888888	0.6439393939393938
43	Fairlearn	equalized_odds	VotingClassifier	2	0.037037037037037	0.0337662337662337	0.9021739130434784	0.6284722222222222	0.6439393939393938
44	scikit-lego	DemographicParityClassifier	OneVsRestClassifier	2	0.0666666666666666	0.1153054221002058	0.75	0.5659722222222222	0.7016317016317016
45	scikit-lego	EqualOpportunityClassifier	OneVsRestClassifier	2	0.0666666666666666	0.1153054221002058	0.75	0.5659722222222222	0.7016317016317016
46	Proposal	nsga2	FairVotingClassifier	2	0.0477453580901857	0.0807516505840528	0.8478260869565217	0.5911458333333334	0.6783216783216782
47	ProposalWeighted	F1_nsga2	FairVotingClassifier	2	0.0529100529100529	0.082051282051282	0.8478260869565217	0.5833333333333333	0.6707459207459207
48	ProposalWeighted	F2_nsga2	FairVotingClassifier	2	0.0294117647058823	0.067398119122257	0.8695652173913043	0.5850694444444444	0.6515151515151515
49	ProposalWeighted	F3_nsga2	FairVotingClassifier	2	0.0874384236453201	0.0650314245810056	0.8260869565217391	0.579861111111111	0.6363636363636364
50	ProposalWeighted	F4_nsga2	FairVotingClassifier	2	0.0477453580901857	0.0807516505840528	0.8478260869565217	0.5911458333333334	0.6783216783216782
