	Technique	Algorithm	Classifier	Seed	F1	F2	F3	F4	F5
192	Proposal	rnsga2	FairVotingClassifier	9	0.0009042136355416	0.0036440160701108	1.0	0.9766519010705058	0.9702150695589252
193	ProposalWeighted	F1_rnsga2	FairVotingClassifier	9	0.0009042136355416	0.0036440160701108	1.0	0.9766519010705058	0.9702150695589252
194	ProposalWeighted	F2_rnsga2	FairVotingClassifier	9	3.67228526311908e-05	0.014169438360239	0.9991755976916736	0.968715393133998	0.9702150695589252
195	ProposalWeighted	F3_rnsga2	FairVotingClassifier	9	0.0009042136355416	0.0036440160701108	1.0	0.9766519010705058	0.9702150695589252
196	ProposalWeighted	F4_rnsga2	FairVotingClassifier	9	0.0009042136355416	0.0036440160701108	1.0	0.9766519010705058	0.9702150695589252
197	ProposalWeighted	F5_rnsga2	FairVotingClassifier	9	3.67228526311908e-05	0.014169438360239	0.9991755976916736	0.968715393133998	0.9702150695589252
198	AIF360	AdversarialDebiasing	AdversarialDebiasing	9	0.0012364926616848	0.0	1.0	0.9806201550387598	0.9710610932475884
199	AIF360	PostProcessingMeta	PostProcessingMeta	9	0.0016393755123048	0.0386597938144329	0.9851607584501236	0.9521502399409376	0.9710610932475884
200	Voting		VotingClassifier	10	0.0081684981684981	0.0	1.0	0.9797297297297296	0.9655712050078248
201	Fairlearn	false_positive_rate_parity	VotingClassifier	10	0.0259368494101318	0.0016949152542372	1.0	0.9635135135135134	0.9600512868188228
202	Fairlearn	true_positive_rate_parity	VotingClassifier	10	0.0081684981684981	0.0	1.0	0.9797297297297296	0.9655712050078248
203	Fairlearn	equalized_odds	VotingClassifier	10	0.1052003410059676	0.0	1.0	0.854054054054054	0.8755868544600939
204	scikit-lego	DemographicParityClassifier	OneVsRestClassifier	10	0.0081684981684981	0.0	1.0	0.9797297297297296	0.9655712050078248
205	scikit-lego	EqualOpportunityClassifier	OneVsRestClassifier	10	0.0081684981684981	0.0	1.0	0.9797297297297296	0.9655712050078248
206	Proposal	nsga2	FairVotingClassifier	10	0.0079313515170088	0.0028089887640448	0.9991967871485944	0.9776200250883796	0.9655712050078248
207	ProposalWeighted	F1_nsga2	FairVotingClassifier	10	0.0079313515170088	0.0028089887640448	0.9991967871485944	0.9776200250883796	0.9655712050078248
208	ProposalWeighted	F2_nsga2	FairVotingClassifier	10	0.0079313515170088	0.0028089887640448	0.9991967871485944	0.9776200250883796	0.9655712050078248
209	ProposalWeighted	F3_nsga2	FairVotingClassifier	10	0.0079313515170088	0.0028089887640448	0.9991967871485944	0.9776200250883796	0.9655712050078248
210	ProposalWeighted	F4_nsga2	FairVotingClassifier	10	0.0079313515170088	0.0028089887640448	0.9991967871485944	0.9776200250883796	0.9655712050078248
211	ProposalWeighted	F5_nsga2	FairVotingClassifier	10	0.0079313515170088	0.0028089887640448	0.9991967871485944	0.9776200250883796	0.9655712050078248
212	Proposal	rnsga2	FairVotingClassifier	10	0.0079313515170088	0.0028089887640448	0.9991967871485944	0.9776200250883796	0.9655712050078248
213	ProposalWeighted	F1_rnsga2	FairVotingClassifier	10	0.0079313515170088	0.0028089887640448	0.9991967871485944	0.9776200250883796	0.9655712050078248
214	ProposalWeighted	F2_rnsga2	FairVotingClassifier	10	0.0079313515170088	0.0028089887640448	0.9991967871485944	0.9776200250883796	0.9655712050078248
215	ProposalWeighted	F3_rnsga2	FairVotingClassifier	10	0.0079313515170088	0.0028089887640448	0.9991967871485944	0.9776200250883796	0.9655712050078248
216	ProposalWeighted	F4_rnsga2	FairVotingClassifier	10	0.0079313515170088	0.0028089887640448	0.9991967871485944	0.9776200250883796	0.9655712050078248
217	ProposalWeighted	F5_rnsga2	FairVotingClassifier	10	0.0079313515170088	0.0028089887640448	0.9991967871485944	0.9776200250883796	0.9655712050078248
218	AIF360	AdversarialDebiasing	AdversarialDebiasing	10	0.0081684981684981	0.0	1.0	0.9797297297297296	0.9655712050078248
219	AIF360	PostProcessingMeta	PostProcessingMeta	10	0.0081684981684981	0.0	1.0	0.9797297297297296	0.9655712050078248
220	Voting		VotingClassifier	11	0.0186518223858815	0.0	1.0	0.9832402234636872	0.966973886328725
221	Fairlearn	false_positive_rate_parity	VotingClassifier	11	0.0039643152546378	0.0049668874172185	1.0	0.9706703910614526	0.9591140985340944
222	Fairlearn	true_positive_rate_parity	VotingClassifier	11	0.0186518223858815	0.0	1.0	0.9832402234636872	0.966973886328725
223	Fairlearn	equalized_odds	VotingClassifier	11	0.0219593771457682	0.0	1.0	0.9106145251396648	0.8917050691244239
224	scikit-lego	DemographicParityClassifier	OneVsRestClassifier	11	0.0186518223858815	0.0	1.0	0.9832402234636872	0.966973886328725
225	scikit-lego	EqualOpportunityClassifier	OneVsRestClassifier	11	0.0186518223858815	0.0	1.0	0.9832402234636872	0.966973886328725
226	Proposal	nsga2	FairVotingClassifier	11	0.0165332831183504	0.0097892271662763	0.995219123505976	0.9748720226268672	0.9669141209143346
227	ProposalWeighted	F1_nsga2	FairVotingClassifier	11	0.0165332831183504	0.0097892271662763	0.995219123505976	0.9748720226268672	0.9669141209143346
228	ProposalWeighted	F2_nsga2	FairVotingClassifier	11	0.0165332831183504	0.0097892271662763	0.995219123505976	0.9748720226268672	0.9669141209143346
229	ProposalWeighted	F3_nsga2	FairVotingClassifier	11	0.0165332831183504	0.0097892271662763	0.995219123505976	0.9748720226268672	0.9669141209143346
230	ProposalWeighted	F4_nsga2	FairVotingClassifier	11	0.0165332831183504	0.0097892271662763	0.995219123505976	0.9748720226268672	0.9669141209143346
231	ProposalWeighted	F5_nsga2	FairVotingClassifier	11	0.0165332831183504	0.0097892271662763	0.995219123505976	0.9748720226268672	0.9669141209143346
232	Proposal	rnsga2	FairVotingClassifier	11	0.0178775913747035	0.0114285714285714	0.996812749003984	0.9748720226268672	0.966973886328725
233	ProposalWeighted	F1_rnsga2	FairVotingClassifier	11	0.0178775913747035	0.0114285714285714	0.996812749003984	0.9748720226268672	0.966973886328725
234	ProposalWeighted	F2_rnsga2	FairVotingClassifier	11	0.0178775913747035	0.0114285714285714	0.996812749003984	0.9748720226268672	0.966973886328725
235	ProposalWeighted	F3_rnsga2	FairVotingClassifier	11	0.0178775913747035	0.0114285714285714	0.996812749003984	0.9748720226268672	0.966973886328725
236	ProposalWeighted	F4_rnsga2	FairVotingClassifier	11	0.0178775913747035	0.0114285714285714	0.996812749003984	0.9748720226268672	0.966973886328725
237	ProposalWeighted	F5_rnsga2	FairVotingClassifier	11	0.0178775913747035	0.0114285714285714	0.996812749003984	0.9748720226268672	0.966973886328725
