Technique	variable	value
AIF360, AdversarialDebiasing	F5	0.6334628190899001
AIF360, AdversarialDebiasing	F5	0.5816176470588235
AIF360, AdversarialDebiasing	F5	0.6192992213570634
AIF360, AdversarialDebiasing	F5	0.534034034034034
AIF360, AdversarialDebiasing	F5	0.6680327868852459
AIF360, AdversarialDebiasing	F5	0.7050342130987292
AIF360, AdversarialDebiasing	F5	0.6815906562847609
AIF360, AdversarialDebiasing	F5	0.6801470588235294
AIF360, AdversarialDebiasing	F5	0.7386984600099354
AIF360, AdversarialDebiasing	F5	0.7472222222222222
AIF360, AdversarialDebiasing	F5	0.6324123989218329
AIF360, AdversarialDebiasing	F5	0.7174863387978142
AIF360, AdversarialDebiasing	F5	0.6840022611644998
AIF360, AdversarialDebiasing	F5	0.6621413934426229
AIF360, AdversarialDebiasing	F5	0.7427446102819237
AIF360, AdversarialDebiasing	F5	0.5763888888888888
AIF360, AdversarialDebiasing	F5	0.6262019230769231
AIF360, AdversarialDebiasing	F5	0.5770416024653313
AIF360, AdversarialDebiasing	F5	0.648587570621469
AIF360, AdversarialDebiasing	F5	0.59593837535014
AIF360, AdversarialDebiasing	F5	0.7603448275862068
AIF360, AdversarialDebiasing	F5	0.6046859421734796
Fairlearn, equalized_odds	F5	0.6319073083778968
Fairlearn, equalized_odds	F5	0.6408730158730158
Fairlearn, equalized_odds	F5	0.6439393939393938
Fairlearn, equalized_odds	F5	0.6091617933723197
Fairlearn, equalized_odds	F5	0.6238828202581926
Fairlearn, equalized_odds	F5	0.5344919786096257
Fairlearn, equalized_odds	F5	0.7418546365914787
Fairlearn, equalized_odds	F5	0.6309523809523809
Fairlearn, equalized_odds	F5	0.7133740288568258
Fairlearn, equalized_odds	F5	0.6919117647058823
Fairlearn, equalized_odds	F5	0.6493325917686319
Fairlearn, equalized_odds	F5	0.5973473473473473
Fairlearn, equalized_odds	F5	0.6513661202185793
Fairlearn, equalized_odds	F5	0.657624633431085
Fairlearn, equalized_odds	F5	0.6890989988876529
Fairlearn, equalized_odds	F5	0.6274509803921569
Fairlearn, equalized_odds	F5	0.7481371087928465
Fairlearn, equalized_odds	F5	0.7250000000000001
Fairlearn, equalized_odds	F5	0.61455525606469
Fairlearn, equalized_odds	F5	0.7092896174863387
Fairlearn, equalized_odds	F5	0.6387789711701526
Fairlearn, equalized_odds	F5	0.6547131147540983
Fairlearn, equalized_odds	F5	0.703150912106136
Fairlearn, equalized_odds	F5	0.5208333333333333
Fairlearn, equalized_odds	F5	0.6418269230769231
Fairlearn, equalized_odds	F5	0.620698510529019
Fairlearn, equalized_odds	F5	0.5819209039548022
Fairlearn, equalized_odds	F5	0.5903361344537815
Fairlearn, equalized_odds	F5	0.6663793103448277
Fairlearn, equalized_odds	F5	0.5476071784646062
Fairlearn, false_positive_rate_parity	F5	0.6537433155080214
Fairlearn, false_positive_rate_parity	F5	0.7142857142857144
Fairlearn, false_positive_rate_parity	F5	0.6824009324009324
Fairlearn, false_positive_rate_parity	F5	0.6656920077972709
Fairlearn, false_positive_rate_parity	F5	0.6276067527308838
Fairlearn, false_positive_rate_parity	F5	0.5513368983957219
Fairlearn, false_positive_rate_parity	F5	0.7243107769423559
Fairlearn, false_positive_rate_parity	F5	0.623015873015873
Fairlearn, false_positive_rate_parity	F5	0.7133740288568258
Fairlearn, false_positive_rate_parity	F5	0.6919117647058823
Fairlearn, false_positive_rate_parity	F5	0.6568409343715239
Fairlearn, false_positive_rate_parity	F5	0.6378878878878879
Fairlearn, false_positive_rate_parity	F5	0.6934426229508197
Fairlearn, false_positive_rate_parity	F5	0.722140762463343
Fairlearn, false_positive_rate_parity	F5	0.7127363737486095
Fairlearn, false_positive_rate_parity	F5	0.6384803921568628
Fairlearn, false_positive_rate_parity	F5	0.7481371087928465
Fairlearn, false_positive_rate_parity	F5	0.7444444444444445
Fairlearn, false_positive_rate_parity	F5	0.6314016172506739
Fairlearn, false_positive_rate_parity	F5	0.7510928961748633
Fairlearn, false_positive_rate_parity	F5	0.6568682871678915
Fairlearn, false_positive_rate_parity	F5	0.7164446721311475
Fairlearn, false_positive_rate_parity	F5	0.7095771144278606
Fairlearn, false_positive_rate_parity	F5	0.5833333333333333
