Technique	variable	value
Fairlearn, false_positive_rate_parity	F1	0.0470095246597737
Fairlearn, false_positive_rate_parity	F1	0.0454522165356347
Fairlearn, false_positive_rate_parity	F1	0.0313834508398506
Fairlearn, false_positive_rate_parity	F1	0.0182048192771084
Fairlearn, false_positive_rate_parity	F1	0.0377510040160642
Fairlearn, false_positive_rate_parity	F1	0.002967422398702
Fairlearn, true_positive_rate_parity	F1	0.0001758566949856
Fairlearn, true_positive_rate_parity	F1	0.0071798871404321
Fairlearn, true_positive_rate_parity	F1	0.011268817204301
Fairlearn, true_positive_rate_parity	F1	0.0035277053202093
Fairlearn, true_positive_rate_parity	F1	0.0074846625766871
Fairlearn, true_positive_rate_parity	F1	0.0017256462185578
Fairlearn, true_positive_rate_parity	F1	0.0051866966423928
Fairlearn, true_positive_rate_parity	F1	0.0043223180076628
Fairlearn, true_positive_rate_parity	F1	0.0259340887961355
Fairlearn, true_positive_rate_parity	F1	0.0012364926616848
Fairlearn, true_positive_rate_parity	F1	0.0081684981684981
Fairlearn, true_positive_rate_parity	F1	0.0186518223858815
Fairlearn, true_positive_rate_parity	F1	0.0239860390079158
Fairlearn, true_positive_rate_parity	F1	0.0036912894055751
Fairlearn, true_positive_rate_parity	F1	0.0163139329805996
Fairlearn, true_positive_rate_parity	F1	0.0168382798304058
Fairlearn, true_positive_rate_parity	F1	0.0026162790697674
Fairlearn, true_positive_rate_parity	F1	0.004341488546261
Fairlearn, true_positive_rate_parity	F1	0.0115581446624812
Fairlearn, true_positive_rate_parity	F1	0.0012257633162469
Fairlearn, true_positive_rate_parity	F1	0.0043517515348501
Fairlearn, true_positive_rate_parity	F1	0.025291983045162
Fairlearn, true_positive_rate_parity	F1	0.0127146272549445
Fairlearn, true_positive_rate_parity	F1	0.0028160646387832
Fairlearn, true_positive_rate_parity	F1	0.0152927336892588
Fairlearn, true_positive_rate_parity	F1	0.0013216020754047
Fairlearn, true_positive_rate_parity	F1	0.0055704099821746
Fairlearn, true_positive_rate_parity	F1	0.0167232277526395
Fairlearn, true_positive_rate_parity	F1	0.0057849819577295
Fairlearn, true_positive_rate_parity	F1	0.0099301652188724
Proposal, nsga2	F1	0.0001758566949856
Proposal, nsga2	F1	0.006980812835948
Proposal, nsga2	F1	0.0115395683453237
Proposal, nsga2	F1	0.0020565798598656
Proposal, nsga2	F1	0.0075883256528417
Proposal, nsga2	F1	0.0017256462185578
Proposal, nsga2	F1	0.0050799149866705
Proposal, nsga2	F1	0.007485465116279
Proposal, nsga2	F1	0.0260196905766526
Proposal, nsga2	F1	0.0013282119395484
Proposal, nsga2	F1	0.0079313515170088
Proposal, nsga2	F1	0.0165332831183504
Proposal, nsga2	F1	0.0238966427763108
Proposal, nsga2	F1	0.0035999611471309
Proposal, nsga2	F1	0.0163139329805996
Proposal, nsga2	F1	0.0168382798304058
Proposal, nsga2	F1	0.0063938618925831
Proposal, nsga2	F1	0.0039083284769554
Proposal, nsga2	F1	0.0152303836514362
Proposal, nsga2	F1	0.0017668888573724
Proposal, nsga2	F1	0.0007431979262965
Proposal, nsga2	F1	0.0248850318943776
Proposal, nsga2	F1	0.0122906931464174
Proposal, nsga2	F1	0.0027133651082668
Proposal, nsga2	F1	0.0152927336892588
Proposal, nsga2	F1	0.0023956951201533
Proposal, nsga2	F1	0.0058146036005814
Proposal, nsga2	F1	0.0164965889799756
Proposal, nsga2	F1	0.0013209700793864
Proposal, nsga2	F1	0.0095086166477981
Proposal, rnsga2	F1	0.0001758566949856
Proposal, rnsga2	F1	0.006980812835948
Proposal, rnsga2	F1	0.0115395683453237
Proposal, rnsga2	F1	0.0022549807487015
Proposal, rnsga2	F1	0.0074846625766871
Proposal, rnsga2	F1	0.0017256462185578
Proposal, rnsga2	F1	0.0051866966423928
Proposal, rnsga2	F1	0.0043223180076628
Proposal, rnsga2	F1	0.0260196905766526
Proposal, rnsga2	F1	0.0009042136355416
Proposal, rnsga2	F1	0.0079313515170088
Proposal, rnsga2	F1	0.0178775913747035
Proposal, rnsga2	F1	0.0238069752359604
Proposal, rnsga2	F1	0.0036912894055751
Proposal, rnsga2	F1	0.0165301526812006
Proposal, rnsga2	F1	0.0168382798304058
Proposal, rnsga2	F1	0.0063938618925831
Proposal, rnsga2	F1	0.004341488546261
Proposal, rnsga2	F1	0.0115581446624812
Proposal, rnsga2	F1	0.0012257633162469
Proposal, rnsga2	F1	0.0042560887388473
Proposal, rnsga2	F1	0.0250575646756061
Proposal, rnsga2	F1	0.0122906931464174
Proposal, rnsga2	F1	0.0024033287897266
Proposal, rnsga2	F1	0.0152927336892588
